lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
409825944,128 Central Avenue,Staten Island,New York,Richmond County,10301,3900000,0.22,17727272,https://www.landwatch.com/richmond-county-county-new-york-undeveloped-land-for-sale/pid/409825944,Undeveloped Land Homesites,Active,2021-04-14 08:36:16.755459+00,2021-04-14 08:36:16.755487+00
409619979,5 Train Band Road,Bedford,New York,Westchester County,10506,1350000,4.19,322195,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409619979,House,Active,2021-04-14 08:29:45.140809+00,2021-04-14 08:29:45.140837+00
409901248,75 Deepwood Road,Bedford,New York,Westchester County,10506,2395000,3.13,765175,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409901248,House,Active,2021-04-14 08:29:45.16997+00,2021-04-14 08:29:45.17+00
407644432,58 Laurel Drive,Mount Kisco,New York,Westchester County,10549,1210000,0.57,2122807,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/407644432,House,Active,2021-04-14 08:31:21.386483+00,2021-04-14 08:31:21.386538+00
407805704,58 Laurel Drive,Mount Kisco,New York,Westchester County,10549,1210000,0.58,2086206,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/407805704,House,Active,2021-04-14 08:31:21.40819+00,2021-04-14 08:31:21.40823+00
408909026,202 W Main Street,Mount Kisco,New York,Westchester County,10549,789000,0.17,4641176,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/408909026,House,Active,2021-04-14 08:31:21.425828+00,2021-04-14 08:31:21.425867+00
409504230,3603 Victoria Drive,Mount Kisco,New York,Westchester County,10549,599900,0.01,59990000,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409504230,House,Active,2021-04-14 08:31:21.444125+00,2021-04-14 08:31:21.444163+00
338663128,151 Sarles Street,Mount Kisco,New York,Westchester County,10549,12800000,25.2,507936,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/338663128,House,Active,2021-04-14 08:31:21.469249+00,2021-04-14 08:31:21.469302+00
409124284,69 Chestnut Ridge Road,Bedford,New York,Westchester County,10549,7900000,9.9,797979,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409124284,House,Active,2021-04-14 08:31:21.487997+00,2021-04-14 08:31:21.488033+00
337281560,27 Seguine Avenue,Staten Island,New York,Richmond County,10309,289000,1.11,260360,https://www.landwatch.com/richmond-county-county-new-york-commercial-property-for-sale/pid/337281560,Commercial Property House,Active,2021-04-14 08:38:43.057638+00,2021-04-14 08:38:43.057719+00
409276464,7 Park Drive,Mount Kisco,New York,Westchester County,10549,299900,0.01,29990000,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409276464,House,Under Contract,2021-04-14 08:31:21.505336+00,2021-04-14 08:31:21.505388+00
407849581,100 Diplomat Drive Unit 5K,Mount Kisco,New York,Westchester County,10549,174900,8.73,20034,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/407849581,House,Under Contract,2021-04-14 08:31:21.534923+00,2021-04-14 08:31:21.53495+00
337767849,284 W Patent Road,Bedford,New York,Westchester County,10549,6499000,10.82,600646,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/337767849,House,Active,2021-04-14 08:31:21.54903+00,2021-04-14 08:31:21.549069+00
409602894,15 HIGH STREET,Mount Kisco,New York,Westchester County,10549,560000,0.17,3294117,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409602894,House,Active,2021-04-14 08:31:21.564166+00,2021-04-14 08:31:21.564193+00
409734320,Sheather Road,Bedford Corners,New York,Westchester County,10549,500000,5.98,83612,https://www.landwatch.com/westchester-county-county-new-york-undeveloped-land-for-sale/pid/409734320,Undeveloped Land,Active,2021-04-14 08:31:21.575371+00,2021-04-14 08:31:21.575397+00
409283645,766 N Bedford Road,Bedford,New York,Westchester County,10549,375000,0.16,2343750,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409283645,House,Active,2021-04-14 08:31:21.589613+00,2021-04-14 08:31:21.589649+00
409474793,64 Holmes Lane,Bedford,New York,Westchester County,10506,825000,0.94,877659,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409474793,House,Active,2021-04-14 08:29:45.19481+00,2021-04-14 08:29:45.194851+00
409444965,515 Long Ridge Road,Pound Ridge,New York,Westchester County,10506,574500,1.99,288693,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409444965,House,Active,2021-04-14 08:29:45.227159+00,2021-04-14 08:29:45.227187+00
409504928,168 Indian Hill Road,Bedford,New York,Westchester County,10506,2250000,4.4,511363,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409504928,House,Active,2021-04-14 08:29:45.260509+00,2021-04-14 08:29:45.260549+00
409293932,20 Captain Theale Road,Bedford,New York,Westchester County,10506,1435000,4.04,355198,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409293932,House,Active,2021-04-14 08:29:45.287524+00,2021-04-14 08:29:45.287559+00
409431483,215 Bedford Banksville Road,Banksville,New York,Westchester County,10506,2975000,3.27,909785,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/409431483,House,Active,2021-04-14 08:29:45.309041+00,2021-04-14 08:29:45.309067+00
